Siemans,unknown,2017\06\08\UnprocessedSOs\D1458556_idw.pdf,Appears to be an enginnering drawing. Please double check the document.
VEST01,PK25590,2017\06\08\UnprocessedSOs\Doc1-6.pdf,This file is a duplicate of an already processed file. It was not moved. There should be another associated error in the error log.
VEST01,PK25598,2017\06\08\UnprocessedSOs\Doc1-7.pdf,This file is a duplicate of an already processed file. It was not moved. There should be another associated error in the error log.
unknown,unknown,2017\06\08\UnprocessedSOs\Requisition177686.pdf,PO not recognized
