100485,500
152323,500
152460,400
152490,2000
153751,200
154556,800
157030,500
157033,8000
220082,1000
293678,25
296155,200
302006,1000
302294,100
302321,200
362030,400
376026,125
745351,270
762578,300
764446,75
764447,350
1501277,30
1501278,20
1517836,400
1530721,200
1537133,150
1569463,30
1581837,100
1598303,1500
1608654,1000
1672692,5000
4101319,250
4102179,100
4125619,500
4127876,500
4140498,5000
29013138,15
524230965,150
524329712,200
550031082,500
550126228,200
907535301,200
909959407,500
932726904,500
937501909,100
